"id","sf","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"US1NJES0024",73.1222222222222,40.8557,-74.2356,108.5,"NJ","CEDAR GROVE TWP 0.4 W","","","PRCP",2014,2023
"US1NJHN0015",81.1888888888889,40.5091,-74.8549,54.6,"NJ","FLEMINGTON 0.3 E","","","PRCP",2009,2022
"US1NJHN0018",78.29,40.6872,-74.8575,186.8,"NJ","CLINTON TWP 3.9 N","","","PRCP",2009,2023
"US1NJMS0059",63.0888888888889,40.7524,-74.4297,108.8,"NJ","MADISON 0.8 WSW","","","PRCP",2014,2023
"US1NJPS0012",80.14,40.8796,-74.227,58.5,"NJ","LITTLE FALLS TWP 0.5 WNW","","","PRCP",2009,2023
"US1NJSM0005",70.23,40.6262,-74.6535,32.9,"NJ","BRIDGEWATER TWP 3.3 NW","","","PRCP",2008,2023
"US1NJSM0039",79.5714285714286,40.5462,-74.5287,15.5,"NJ","FRANKLIN TWP 4.6 NNW","","","PRCP",2012,2020
"US1NJSS0007",96.29,41.089,-74.5399,323.4,"NJ","HARDYSTON TWP 3.2 SE","","","PRCP",2008,2023
"US1NJWR0005",89.22,40.8515,-74.8403,170.1,"NJ","HACKETTSTOWN 0.8 W","","","PRCP",2008,2023
"US1NYBM0014",149.56,42.3084,-75.9569,385.9,"NY","WHITNEY POINT 1.7 SSE","","","PRCP",2007,2023
"US1NYCR0005",157.355555555556,42.4516,-76.0437,313.9,"NY","MARATHON 1.0 NW","","","PRCP",2008,2022
"US1NYDL0025",175.95,42.3523,-74.5783,676.7,"NY","HOBART 4.8 ESE","","","PRCP",2012,2023
"US1NYST0003",86.95,42.0567,-77.0485,527.3,"NY","SOUTH CORNING 4.7 S","","","PRCP",2007,2023
"US1NYSY0001",137.97,42.3907,-76.7176,426.1,"NY","SMITH VALLEY 1.9 SE","","","PRCP",2007,2023
"US1NYTM0023",160.08,42.5021,-76.418,352,"NY","FREEVILLE 3.7 W","","","PRCP",2008,2023
"US1PABR0025",69.6,40.5665,-75.9862,164.3,"PA","HAMBURG 0.7 NNW","","","PRCP",2014,2023
"US1PACB0012",60.9,40.779,-75.7113,159.1,"PA","BOWMANSTOWN 3.0 WSW","","","PRCP",2006,2023
"US1PACN0003",74.2,40.8067,-77.8167,334.1,"PA","STATE COLLEGE 2.4 ENE","","","PRCP",2005,2023
"US1PACN0005",89.88,40.8162,-77.8954,376.4,"PA","STATE COLLEGE 2.6 NW","","","PRCP",2002,2023
"US1PACN0010",109.25,40.9249,-77.6869,309.1,"PA","BELLEFONTE 4.3 E","","","PRCP",2007,2023
"US1PACN0018",102.46,40.7912,-78.0118,419.1,"PA","PORT MATILDA 2.2 ESE","","","PRCP",2009,2023
