"id","sf","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"US1PAEL0001",125.777777777778,41.4107,-78.5348,554.1,"PA","ST. MARYS 1.7 SE","","","PRCP",2005,2022
"US1PAER0005",150.23,42.2206,-79.8551,230.4,"PA","NORTH EAST 1.2 WNW","","","PRCP",2008,2023
"US1PALY0002",61.94,41.2571,-77.0085,178,"PA","WILLIAMSPORT 2.0 NE","","","PRCP",2008,2023
"US1PALZ0006",85.85,41.0167,-76,339.9,"PA","WEST HAZLETON 3.2 NNE","","","PRCP",2004,2023
"US1PALZ0024",78.83,41.2949,-75.8682,170.1,"PA","FORTY FORT 0.4 NNE","","","PRCP",2012,2023
"US1PAPT0002",113.95,41.8076,-78.1414,495.3,"PA","ROULETTE 1.8 NNE","","","PRCP",2009,2023
"US1PASN0002",65.02,40.8173,-76.9097,178.6,"PA","SELINSGROVE 2.6 WNW","","","PRCP",2012,2023
"USC00280734",41.48,40.8292,-75.0833,80.2,"NJ","BELVIDERE BRG","","HCN","TMAX",1982,2023
"USC00280907",32.72,40.8917,-74.3964,85.3,"NJ","BOONTON 1 SE","","HCN","TMAX",1893,2023
"USC00283029",71.03,40.5742,-74.8817,80.8,"NJ","FLEMINGTON 5 NNW","","HCN","TMAX",1898,2023
"USC00286055",67.86,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00287486",51.45,40.5944,-75.1897,47.9,"NJ","RIEGELSVILLE","","","PRCP",2011,2023
"USC00288644",82.22,41.2186,-74.6211,190.8,"NJ","SUSSEX 1 NW","","","TMAX",1893,2023
"USC00289363",64.1,40.4519,-74.7792,86.3,"NJ","WERTSVILLE 4 NE","","","TMAX",1995,2023
"USC00300085",138.38,42.2797,-77.7664,586.4,"NY","ALFRED","","HCN","TMAX",1893,2023
"USC00300093",150.79,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",134.98,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00300684",176.15,42.2117,-75.9858,487.7,"NY","BINGHAMTON WFO","","","SNOW",2012,2023
"USC00301102",134.79,41.8275,-74.9506,372.2,"NY","CALLICOON CTR","","","TMAX",2011,2023
"USC00302036",156.071428571429,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302197",126.777777777778,42.4717,-79.3336,192.3,"NY","DUNKIRK","","","PRCP",2009,2023
"USC00302610",74.78,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",184.73,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303444",115.64,42.3242,-75.7708,280.4,"NY","GREENE","","","PRCP",1909,2023
"USC00303983",156.22,42.3489,-77.7044,403.9,"NY","HORNELL ALMOND DAM","","","TMAX",2011,2023
"USC00304174",125.7,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304207",188.21,42.11,-79.1592,381,"NY","JAMESTOWN 4 ENE","","","TMAX",1960,2023
"USC00304731",140.83,41.8017,-74.74,481.6,"NY","LIBERTY 1 NE","","","TMAX",1898,2023
"USC00304808",282.67,42.2472,-78.8125,495.3,"NY","LITTLE VALLEY","","","TMAX",1941,2023
"USC00305113",156.388888888889,42.4694,-75.0106,373.4,"NY","EMMONS","","HCN","TMAX",1983,2022
"USC00305233",180.73,42.4422,-76.7586,460.2,"NY","MECKLENBURG 4SW","","","TMAX",2003,2023
"USC00306196",128.4,42.0736,-78.4517,432.8,"NY","OLEAN","","","TMAX",1927,2023
"USC00306525",420.08,42.4647,-79.0031,368.8,"NY","PERRYSBURG","","","TMAX",2011,2023
"USC00306570",143.97,42.0675,-74.3356,323.1,"NY","PHONECIA 2SW","","","PRCP",2011,2023
"USC00306747",171.87,42.3717,-79.4867,246.3,"NY","PORTLAND 1 SW","","","TMAX",2011,2023
"USC00306774",95.98,41.3892,-74.6906,176.8,"NY","PORT JERVIS","","HCN","TMAX",1893,2023
"USC00307329",175.66,42.3914,-78.2483,463.9,"NY","RUSHFORD","","","PRCP",1954,2023
"USC00309072",90.61,42.1172,-77.9475,460.2,"NY","WELLSVILLE","","","TMAX",1980,2023
"USC00309425",106.13,42.0597,-77.7553,661.4,"NY","WHITESVILLE 1N","","","PRCP",1954,2023
"USC00309442",108.75,42.3419,-75.9653,317,"NY","WHITNEY PT DAM","","","TMAX",2011,2023
"USC00360132",81.07,40.4189,-78.4197,359.7,"PA","ALTOONA 7 SW","","","TMAX",2001,2023
"USC00360140",83.6,40.495,-78.4667,402.3,"PA","ALTOONA 3 W","","","TMAX",1967,2023
"USC00360861",29.4,40.3917,-79.8594,222.5,"PA","BRADDOCK LOCK 2","","","TMAX",1977,2023
"USC00360868",151.94,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5","","","TMAX",1941,2023
"USC00361212",81.16,41.6517,-76.8464,347.5,"PA","CANTON","","","TMAX",1976,2023
"USC00361362",210.93,41.93,-79.2969,454.2,"PA","CHANDLERS VALLEY 1SE","","","TMAX",2004,2023
"USC00361526",150.39,41.6997,-78.4978,634,"PA","CLERMONT 1 NW","","","TMAX",2000,2023
"USC00361802",123.4,41.7583,-78.0408,502.9,"PA","COUDERSPORT 1 SW","","","TMAX",2000,2023
"USC00361810",151.15,41.7392,-77.9711,655.3,"PA","COUDERSPORT 7SE","","","TMAX",2005,2023
"USC00361833",123.14,41.7375,-77.1158,531.9,"PA","COVINGTON 2 WSW","","","PRCP",1956,2023
"USC00361838",85.37,41.9906,-77.1567,350.5,"PA","COWANESQUE DAM","","","TMAX",1993,2023
"USC00362323",75.6333333333333,41.5217,-76.4042,466.3,"PA","DUSHORE","","","TMAX",2003,2023
"USC00362470",131.62,40.4681,-78.7308,591.3,"PA","EBENSBURG SEWAGE PLT","","","TMAX",1964,2023
"USC00362574",32.56,40.5044,-80.0889,218.5,"PA","EMSWORTH L/D OHIO RVR","","","TMAX",1991,2023
"USC00362942",58.2,40.715,-79.5133,283.5,"PA","FORD CITY 4 S DAM","","","TMAX",1943,2023
"USC00363028",95.04,41.4003,-79.8306,309.4,"PA","FRANKLIN","","HCN","TMAX",1897,2023
"USC00363130",99.76,41.7356,-77.6517,410,"PA","GALETON","","","PRCP",1931,2023
"USC00363311",123.98,41.5606,-78.5994,524.3,"PA","GLEN HAZEL 2 NE DAM","","","TMAX",1955,2023
"USC00363417",120.37,40.9667,-78.5872,460.2,"PA","GRAMPIAN 1E","","","TMAX",2010,2023
"USC00363632",76.2625,40.5517,-75.9911,112.5,"PA","HAMBURG","","","TMAX",1894,2021
"USC00364214",87.8,40.5972,-79.1186,335.9,"PA","INDIANA 3 SE","","","TMAX",1946,2023
"USC00364432",167.61,41.6769,-78.8036,533.4,"PA","KANE 1NNE","","","TMAX",1894,2023
"USC00364815",126.73,41.4233,-76.4933,599.2,"PA","LAPORTE","","","TMAX",1991,2023
"USC00364976",62.74,40.9475,-76.8786,152.4,"PA","LEWISBURG","","","TMAX",1996,2023
"USC00364992",62.72,40.5864,-77.5692,140.2,"PA","LEWISTOWN","","","TMAX",1938,2023
"USC00365109",66.95,41.1311,-77.4336,172.5,"PA","LOCK HAVEN SEWAGE PLT","","","TMAX",1973,2023
"USC00365344",94.39,40.8344,-76.1436,521.2,"PA","MAHANOY CITY 2 N","","","TMAX",2011,2023
"USC00365790",74.9888888888889,40.8847,-77.475,341.4,"PA","MILLHEIM","","","TMAX",2004,2023
"USC00366111",51.6,40.4119,-79.7244,262.1,"PA","MURRYSVILLE 2 SW","","","TMAX",2012,2023
"USC00366151",55.12,40.6142,-79.7192,231.6,"PA","NATRONA LOCK 4","","","TMAX",1977,2023
"USC00366649",116.328571428571,41.9244,-78.0072,521.2,"PA","OSWAYO 1 ENE","","","TMAX",2006,2021
"USC00366921",98.81,40.8728,-78.2161,524.3,"PA","PHILIPSBURG 2 S","","","TMAX",1998,2023
"USC00367103",106.33,41.8156,-78.2872,449.6,"PA","PORT ALLEGANY","","","TMAX",1969,2023
"USC00367167",81.04,40.6514,-78.555,463.3,"PA","PRINCE GALLITZIN SP","","","TMAX",1982,2023
"USC00367313",77.13,40.3814,-78.0753,303.3,"PA","RAYSTOWN HQ","","","TMAX",2012,2023
"USC00367409",63.61,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",111.98,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367782",67.47,40.51,-79.5458,338,"PA","SALINA 3 W","","","TMAX",1953,2023
"USC00367863",53.46,40.6831,-79.6683,238.7,"PA","SCHENLEY LOCK 5","","","TMAX",2011,2023
"USC00367931",59.11,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368400",98.87,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",78.55,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",84.27,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368596",101.7,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368668",64.66,40.8533,-76.7892,175.3,"PA","SUNBURY","","","TMAX",1957,2023
"USC00368763",92.5666666666667,40.8483,-75.9994,347.5,"PA","TAMAQUA 4 N DAM","","","PRCP",1931,2022
"USC00368868",99.31,41.8975,-77.1419,374.9,"PA","TIOGA HAMMOND DAM","","","TMAX",1973,2023
"USC00368873",93.78,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",125.35,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00369022",70.15,40.6644,-78.2192,271.3,"PA","TYRONE","","","PRCP",1972,2023
"USC00369042",200.12,41.9003,-79.8611,378,"PA","UNION CITY FILTRATION PLT","","","TMAX",2012,2023
"USC00369298",132.14,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USC00369408",115.05,41.7003,-77.3872,554.1,"PA","WELLSBORO 4 SW","","HCN","TMAX",1926,2023
"USC00369714",59.92,40.4667,-78.2,257.6,"PA","WILLIAMSBURG","","","TOBS",1971,2022
"USC00369735",74.37,41.2486,-76.9833,160,"PA","WILLIAMSPORT 2","","","TMAX",1999,2023
"USW00004725",176.2,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
"USW00014737",85.35,40.6497,-75.4478,117.3,"PA","ALLENTOWN LEHIGH VLY INTL AP","","HCN 72517","TMAX",1948,2023
"USW00014777",87.55,41.3336,-75.7228,289.9,"PA","WILKES-BARRE/SCRANTON INTL AP","","72513","TMAX",1949,2023
"USW00014778",71.28,41.2431,-76.9217,159.7,"PA","WILLIAMSPORT RGNL AP","","HCN 72514","TMAX",1948,2023
