"id","sf","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00360861",9.8,40.3917,-79.8594,222.5,"PA","BRADDOCK LOCK 2","","","TMAX",1977,2023
"USC00360867",119.3,41.95,-78.65,457.2,"PA","BRADFORD CNTRL FS","","","PRCP",1910,2008
"USC00360868",145.4,41.8981,-78.7144,506,"PA","BRADFORD 4SW RSCH 5","","","TMAX",1941,2023
"USC00361080",43.02,40.5,-75.2042,118,"PA","BUCKSVILLE","","","TMAX",1978,2023
"USC00361139",75.59,40.8414,-79.9164,304.8,"PA","BUTLER 2 SW","","","TMAX",1967,2020
"USC00361212",93.59,41.6517,-76.8464,347.5,"PA","CANTON","","","TMAX",1976,2023
"USC00361480",115.5,41.0489,-77.9411,423.7,"PA","CLARENCE","","","TOBS",1965,2019
"USC00361485",79.05,41.1922,-79.4361,317,"PA","CLARION 3 SW","","","TMAX",1943,2023
"USC00361751",93.775,41.3558,-79.2172,442,"PA","COOKSBURG 2 NW","","","PRCP",1994,2023
"USC00361833",103.52,41.7375,-77.1158,531.9,"PA","COVINGTON 2 WSW","","","PRCP",1956,2023
"USC00361838",77.62,41.9906,-77.1567,350.5,"PA","COWANESQUE DAM","","","TMAX",1993,2023
"USC00362013",74.1444444444444,40.9592,-76.6175,145.7,"PA","DANVILLE","","","TOBS",1974,2011
"USC00362470",163.77,40.4681,-78.7308,591.3,"PA","EBENSBURG SEWAGE PLT","","","TMAX",1964,2023
"USC00362629",101.7,41.5067,-78.2275,317,"PA","EMPORIUM","","","TMAX",1969,2008
"USC00363018",92.68,41.1183,-75.7278,459.9,"PA","FRANCIS E WALTER DAM","","","TMAX",1963,2023
"USC00363028",120.5,41.4003,-79.8306,309.4,"PA","FRANKLIN","","HCN","TMAX",1897,2023
"USC00363130",113.11,41.7356,-77.6517,410,"PA","GALETON","","","PRCP",1931,2023
"USC00363311",118.8,41.5606,-78.5994,524.3,"PA","GLEN HAZEL 2 NE DAM","","","TMAX",1955,2023
"USC00363632",45.76,40.5517,-75.9911,112.5,"PA","HAMBURG","","","TMAX",1894,2021
"USC00363758",111.95,41.4764,-75.1653,271.3,"PA","HAWLEY 1 E","","","TMAX",1897,2017
"USC00364214",104.47,40.5972,-79.1186,335.9,"PA","INDIANA 3 SE","","","TMAX",1946,2023
"USC00364432",187.27,41.6769,-78.8036,533.4,"PA","KANE 1NNE","","","TMAX",1894,2023
"USC00364815",176.09,41.4233,-76.4933,599.2,"PA","LAPORTE","","","TMAX",1991,2023
"USC00364853",71.62,40.9017,-77.2139,243.8,"PA","LAURELTON CTR","","","TMAX",1964,2006
"USC00364934",81.78,40.8222,-75.6961,138.7,"PA","LEHIGHTON 1SSW","","","TMAX",1970,2023
"USC00364983",143.977777777778,41.8667,-78.65,475.5,"PA","LEWIS RUN","","","PRCP",1969,2005
