"id","n","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00280734",18.3,40.8292,-75.0833,80.2,"NJ","BELVIDERE BRG","","HCN","TMAX",1982,2023
"USC00280907",17.2,40.8917,-74.3964,85.3,"NJ","BOONTON 1 SE","","HCN","TMAX",1893,2023
"USC00281335",12.8,40.7436,-74.3539,54.9,"NJ","CANOE BROOK","","","TMAX",1931,2023
"USC00281582",21.8,41.03,-74.4247,237.1,"NJ","CHARLOTTEBURG RSVR","","HCN","TMAX",1893,2023
"USC00283029",16.7,40.5742,-74.8817,80.8,"NJ","FLEMINGTON 5 NNW","","HCN","TMAX",1898,2023
"USC00286055",11.6,40.4728,-74.4225,33.8,"NJ","NEW BRUNSWICK 3 SE","","HCN","TMAX",1968,2023
"USC00286979",16.5,40.6956,-75.2,70.7,"NJ","PHILLIPSBURG-EASTON BRG","","","TMAX",2011,2023
"USC00288644",25.5,41.2186,-74.6211,190.8,"NJ","SUSSEX 1 NW","","","TMAX",1893,2023
"USC00289363",17.9,40.4519,-74.7792,86.3,"NJ","WERTSVILLE 4 NE","","","TMAX",1995,2023
"USC00300023",35.1428571428571,42.1014,-77.2344,304.5,"NY","ADDISON","","HCN","TMAX",1893,2020
"USC00300085",40.5,42.2797,-77.7664,586.4,"NY","ALFRED","","HCN","TMAX",1893,2023
"USC00300093",42.5,42.1003,-78.7497,457.2,"NY","ALLEGANY SP","","HCN","TMAX",1924,2023
"USC00300183",38.4,42.3108,-78.0231,449.6,"NY","ANGELICA","","HCN","TMAX",1893,2023
"USC00301102",44.5,41.8275,-74.9506,372.2,"NY","CALLICOON CTR","","","TMAX",2011,2023
"USC00301787",46.6,42.1342,-77.0692,349.6,"NY","CORNING","","","TMAX",1992,2023
"USC00302036",39.7142857142857,42.2533,-74.905,445,"NY","DELHI 2 SE","","","TMAX",1924,2023
"USC00302169",34.5,42.0772,-74.9828,365.8,"NY","DOWNSVILLE DAM","","","TMAX",1959,2023
"USC00302197",29.875,42.4717,-79.3336,192.3,"NY","DUNKIRK","","","PRCP",2009,2023
"USC00302454",39.3,42.3328,-75.2297,352,"NY","E SIDNEY","","","TMAX",2010,2023
"USC00302610",35.3,42.0997,-76.8358,288.6,"NY","ELMIRA","","HCN","TMAX",1894,2023
"USC00303025",43.2,42.3294,-78.4636,481,"NY","FRANKLINVILLE","","","TMAX",1896,2023
"USC00303983",46.3,42.3489,-77.7044,403.9,"NY","HORNELL ALMOND DAM","","","TMAX",2011,2023
"USC00304174",44.2,42.4492,-76.4492,292.6,"NY","ITHACA CORNELL UNIV","","HCN","TMAX",1893,2023
"USC00304207",38.7,42.11,-79.1592,381,"NY","JAMESTOWN 4 ENE","","","TMAX",1960,2023
"USC00304575",27.9,42.4486,-74.4653,338.3,"NY","LANSING MANOR","","","TMAX",1985,2023
"USC00304731",43.7,41.8017,-74.74,481.6,"NY","LIBERTY 1 NE","","","TMAX",1898,2023
"USC00304808",47.3,42.2472,-78.8125,495.3,"NY","LITTLE VALLEY","","","TMAX",1941,2023
"USC00305113",47,42.4694,-75.0106,373.4,"NY","EMMONS","","HCN","TMAX",1983,2022
"USC00305233",48.2,42.4422,-76.7586,460.2,"NY","MECKLENBURG 4SW","","","TMAX",2003,2023
"USC00306196",40.6,42.0736,-78.4517,432.8,"NY","OLEAN","","","TMAX",1927,2023
"USC00306525",43.5,42.4647,-79.0031,368.8,"NY","PERRYSBURG","","","TMAX",2011,2023
