"id","dd","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00365109",-80.6,41.1311,-77.4336,172.5,"PA","LOCK HAVEN SEWAGE PLT","","","TMAX",1973,2023
"USC00365470",-80.45,41.3914,-74.7172,139.9,"PA","MATAMORAS","","","TMAX",1955,2012
"USC00365915",-175.11,41.8511,-75.8583,432.8,"PA","MONTROSE","","HCN","TMAX",1903,2009
"USC00367029",-249.59,41.7394,-75.4464,548.6,"PA","PLEASANT MT 1 W","","HCN","TMAX",1951,2023
"USC00367229",-141.64,40.9247,-79.2825,390.1,"PA","PUTNEYVILLE 2 SE DAM","","","TMAX",1943,2023
"USC00367312",-71.68,40.3814,-78.0753,304.8,"PA","RAYSTOWN LAKE 2","","","TMAX",1974,2012
"USC00367322",-58.72,40.4269,-75.9319,109.7,"PA","READING 4 NNW","","HCN","TMAX",1973,2008
"USC00367409",-84.07,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",-171.56,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367578",-64.1,40.5514,-75.7222,167.6,"PA","RODALE RSCH CTR","","","TMAX",1983,2013
"USC00367782",-94.85,40.51,-79.5458,338,"PA","SALINA 3 W","","","TMAX",1953,2023
"USC00367931",-85.07,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368184",-96.7,41.0561,-80.0594,384,"PA","SLIPPERY ROCK 1 SSW","","","TMAX",1949,2023
"USC00368400",-53.46,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",-110.96,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",-118.61,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368596",-72.9111111111111,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368873",-150.04,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",-175.53,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00368905",-98.83,41.7511,-76.4431,231.6,"PA","TOWANDA 1 S","","HCN","TMAX",1894,2023
"USC00369298",-169.58,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USW00004725",-237.14,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
"USW00004751",-224.4875,41.7983,-78.6356,642.2,"PA","BRADFORD RGNL AP","","","TMAX",1957,2023
"USW00014737",-67.4,40.6497,-75.4478,117.3,"PA","ALLENTOWN LEHIGH VLY INTL AP","","HCN 72517","TMAX",1948,2023
"USW00014747",-125.35,42.4933,-79.2761,203.9,"NY","DUNKIRK CHAUTAUQUA CO AP","","","TMAX",1945,2023
"USW00014777",-119.23,41.3336,-75.7228,289.9,"PA","WILKES-BARRE/SCRANTON INTL AP","","72513","TMAX",1949,2023
"USW00014778",-88.12,41.2431,-76.9217,159.7,"PA","WILLIAMSPORT RGNL AP","","HCN 72514","TMAX",1948,2023
