"id","n","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00364214",23.7,40.5972,-79.1186,335.9,"PA","INDIANA 3 SE","","","TMAX",1946,2023
"USC00364432",52,41.6769,-78.8036,533.4,"PA","KANE 1NNE","","","TMAX",1894,2023
"USC00364815",48.8,41.4233,-76.4933,599.2,"PA","LAPORTE","","","TMAX",1991,2023
"USC00364853",18.4,40.9017,-77.2139,243.8,"PA","LAURELTON CTR","","","TMAX",1964,2006
"USC00364992",20,40.5864,-77.5692,140.2,"PA","LEWISTOWN","","","TMAX",1938,2023
"USC00365109",22.6,41.1311,-77.4336,172.5,"PA","LOCK HAVEN SEWAGE PLT","","","TMAX",1973,2023
"USC00365470",22,41.3914,-74.7172,139.9,"PA","MATAMORAS","","","TMAX",1955,2012
"USC00365915",40,41.8511,-75.8583,432.8,"PA","MONTROSE","","HCN","TMAX",1903,2009
"USC00367029",51,41.7394,-75.4464,548.6,"PA","PLEASANT MT 1 W","","HCN","TMAX",1951,2023
"USC00367229",32.9,40.9247,-79.2825,390.1,"PA","PUTNEYVILLE 2 SE DAM","","","TMAX",1943,2023
"USC00367312",18.4,40.3814,-78.0753,304.8,"PA","RAYSTOWN LAKE 2","","","TMAX",1974,2012
"USC00367322",17,40.4269,-75.9319,109.7,"PA","READING 4 NNW","","HCN","TMAX",1973,2008
"USC00367409",23.5,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",38,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367578",17.9,40.5514,-75.7222,167.6,"PA","RODALE RSCH CTR","","","TMAX",1983,2013
"USC00367782",25,40.51,-79.5458,338,"PA","SALINA 3 W","","","TMAX",1953,2023
"USC00367931",23.3,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368184",26.1,41.0561,-80.0594,384,"PA","SLIPPERY ROCK 1 SSW","","","TMAX",1949,2023
"USC00368400",16.8,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",28,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",30.6,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368596",21.5555555555556,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368873",35,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",39.5,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00368905",25.9,41.7511,-76.4431,231.6,"PA","TOWANDA 1 S","","HCN","TMAX",1894,2023
"USC00369298",38.8,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USW00004725",49,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
"USW00004751",48.25,41.7983,-78.6356,642.2,"PA","BRADFORD RGNL AP","","","TMAX",1957,2023
"USW00014737",20,40.6497,-75.4478,117.3,"PA","ALLENTOWN LEHIGH VLY INTL AP","","HCN 72517","TMAX",1948,2023
"USW00014747",33.125,42.4933,-79.2761,203.9,"NY","DUNKIRK CHAUTAUQUA CO AP","","","TMAX",1945,2023
"USW00014777",31.4,41.3336,-75.7228,289.9,"PA","WILKES-BARRE/SCRANTON INTL AP","","72513","TMAX",1949,2023
"USW00014778",25.2,41.2431,-76.9217,159.7,"PA","WILLIAMSPORT RGNL AP","","HCN 72514","TMAX",1948,2023
